,chasing %,condition
0,22.76325825941093,unselected
1,38.80832828697836,unselected
2,12.612556614296988,unselected
3,15.322382851705807,unselected
4,14.83244263455351,unselected
5,45.00402032761725,unselected
6,14.881077872667516,unselected
7,0.0,unselected
8,52.2012855374008,unselected
9,72.00686295343111,unselected
10,51.71517129861508,unselected
11,63.23270573980585,unselected
12,33.20914881169236,unselected
13,26.480911466407136,unselected
14,0.0,unselected
15,0.0,unselected
16,42.42262312992772,unselected
17,8.018553467977421,unselected
18,36.03571562277709,unselected
19,32.892340872308765,unselected
20,31.49474969214985,unselected
21,60.669803256354605,unselected
22,81.96486030165197,unselected
23,75.52382238989419,unselected
24,46.341753277018675,unselected
25,45.832483658580955,unselected
26,30.520160920880627,unselected
27,83.10929703757873,tame mouse
28,66.80716625889046,tame mouse
29,56.97498104624692,tame mouse
30,43.43272006476058,tame mouse
31,50.23393661444231,tame mouse
32,66.83707679687949,tame mouse
33,34.225678555358456,tame mouse
34,61.27165316245433,tame mouse
35,46.35038990684614,tame mouse
36,54.43784011727124,tame mouse
37,45.814442426236106,tame mouse
38,63.160530534723634,tame mouse
39,40.342506367459876,tame mouse
40,44.998656829412056,tame mouse
41,57.93864991741125,tame mouse
42,23.465001885154553,tame mouse
43,24.56736605418524,tame mouse
44,25.828459050959307,tame mouse
45,30.67699848081761,tame mouse
46,11.664293167263285,tame mouse
47,76.60436479848646,tame mouse
48,60.950185334481546,tame mouse
49,83.63079591611219,tame mouse
50,93.4872345110974,tame mouse
51,89.83034009798459,tame mouse
52,82.85749395813711,tame mouse
