,Anogenital,Body,Facial,Mounting,Break,strain,call
0,0.0,0.019625737191753246,0.02413086651528564,0.0,0.03716936686629715,unselected,ultrasonic
1,0.0,0.08721335876087279,0.04168056018672881,0.32053978900468394,0.023027186126212476,unselected,ultrasonic
2,0.08788813598052385,0.0667458717678305,0.0,0.0,0.004472713984700635,unselected,ultrasonic
3,0.8974837390117268,0.23657090473585432,0.024851265177910246,0.19514588548839457,0.06442648615796948,unselected,ultrasonic
4,0.10341796370029485,0.17636791976073624,0.0,0.0,0.03459338153134838,unselected,ultrasonic
5,0.9370405673942198,0.8719801276461655,1.7487261434558434,0.3377208905699897,0.1438320647092889,tame mouse,ultrasonic
6,0.6473807756937332,0.49839150076360755,0.40832715171395395,0.5395800930917661,0.3708173488582176,tame mouse,ultrasonic
7,0.0,0.048384142442915244,0.025016980275361932,0.0,0.0,tame mouse,ultrasonic
8,1.1811499713618003,0.7526235237920391,1.2497375551134233,0.0,0.06717217459839445,tame mouse,ultrasonic
9,0.70655912575084,0.6659026714094308,0.3627118979394676,0.432632555993141,0.01007373977515413,tame mouse,ultrasonic
10,0.010571003315066647,0.008467945439333957,0.21716705575764167,0.0,0.0,tame mouse,ultrasonic
0,0.34761785210791657,0.8831581736288961,0.38609386424457026,0.0,0.03716936686629715,unselected,sonic
1,0.33469238726951867,0.36338899483696996,0.2500833611203729,0.04006747362558549,0.02532990473883372,unselected,sonic
2,0.0,0.0,0.0,0.0,0.00894542796940127,unselected,sonic
3,0.07085397939566264,0.014785681545990895,0.0,0.0,0.014316996923993217,unselected,sonic
4,0.10341796370029485,0.013566763058518172,0.0,0.0,0.006289705732972432,unselected,sonic
5,0.526031161067857,0.48384142442915246,0.11257641123912869,0.0,0.0075301658443725624,tame mouse,sonic
6,0.0,0.004350424993017567,0.0,0.0,0.011195362433065742,tame mouse,sonic
7,0.009813321190983888,0.0,0.0,0.0,0.0,tame mouse,sonic
