,notes,principal_freq,slope,dur
1074,tickling,71.1542,-508.0613,0.008000000000009777
1078,tickling,81.1111,-2911.5821,0.006399999999999295
1083,tickling,112.4463,-9.2008,0.015999999999991132
1084,tickling,111.2124,-605.975,0.03360000000000696
1085,tickling,113.7503,530.3078,0.03829999999999245
1086,tickling,65.7887,2949.1606,0.020799999999979946
1087,tickling,102.5132,407.5657,0.008000000000009777
1088,tickling,113.4378,1030.7782,0.02240000000000464
1089,tickling,89.5579,157.7424,0.020800000000008367
1090,tickling,104.3757,688.6454,0.04470000000000596
1091,tickling,99.7016,1150.086,0.020800000000008367
1092,tickling,111.7272,707.159,0.017600000000015825
1094,tickling,110.9417,612.5444,0.033499999999975216
1095,tickling,98.1288,582.6717,0.016000000000019554
1096,tickling,65.6326,-580.4318,0.03520000000000323
1097,tickling,95.0175,-56.1185,0.02230000000000132
1098,tickling,93.1165,-2141.5008,0.02559999999999718
1099,tickling,112.8294,718.823,0.009600000000006048
1101,tickling,109.9983,674.4399,0.025600000000025602
1102,tickling,114.0633,358.0461,0.033599999999978536
1103,tickling,101.3581,667.293,0.027099999999990132
1104,tickling,99.0348,-741.4772,0.03360000000000696
1105,tickling,64.848,-1122.9458,0.03989999999998872
1106,tickling,114.3915,509.1825,0.017599999999987403
1107,tickling,111.5661,534.8014,0.028700000000014825
1108,tickling,105.9884,95.7795,0.0367999999999995
1109,tickling,77.0342,-1432.6663,0.028799999999989723
1110,tickling,72.1929,-1529.207,0.028699999999986403
1111,tickling,73.1284,-427.3448,0.03360000000000696
1112,tickling,118.1447,-51.4475,0.03829999999999245
1113,tickling,64.9832,-210.5878,0.04949999999999477
1114,tickling,105.002,830.7397,0.03669999999999618
1115,tickling,65.006,603.2657,0.030300000000011096
1116,tickling,110.6204,981.7163,0.030300000000011096
1117,tickling,109.6945,457.9018,0.033499999999975216
1118,tickling,105.9413,381.1,0.02559999999999718
1119,tickling,71.7208,675.0465,0.017500000000012506
1120,tickling,65.3197,-1169.7674,0.02559999999999718
1121,tickling,98.1318,644.3641,0.019199999999983675
1122,tickling,82.53,-152.1563,0.0367999999999995
1123,tickling,97.6605,963.8205,0.028699999999986403
1124,tickling,86.4226,496.8309,0.028699999999986403
1125,tickling,69.3691,42.9425,0.014299999999991542
1126,tickling,75.9496,95.0634,0.02559999999999718
1127,tickling,63.7564,-144.4836,0.014400000000023283
1128,tickling,71.5712,-362.6629,0.044699999999977535
1129,tickling,72.0429,-166.097,0.012800000000027012
1130,tickling,100.3301,39.7431,0.02230000000002974
1131,tickling,85.0135,54.353,0.030400000000042837
1132,tickling,103.554,1714.009,0.007999999999981355
1133,tickling,95.9442,515.8202,0.02559999999999718
1134,tickling,68.4477,96.201,0.020799999999951524
1135,tickling,97.0113,-274.0462,0.04959999999999809
1136,tickling,96.2552,664.2921,0.02559999999999718
1137,tickling,64.8514,-660.258,0.04629999999997381
1138,tickling,98.4101,316.1425,0.03989999999998872
1139,tickling,81.5717,635.0766,0.009599999999977626
1140,tickling,99.0798,25.8011,0.027100000000018554
1141,tickling,114.3942,658.5109,0.017600000000015825
1142,tickling,111.5661,803.2104,0.02719999999999345
1143,tickling,70.7774,-1062.0582,0.028799999999989723
