,notes,principal_freq,slope,dur
1071,tickling,0.65383,3.085,0.07350000000000989
1072,tickling,0.3122,-2.3989e-15,0.05910000000000082
1073,tickling,12.0248,-144.7439,0.03829999999999245
1075,tickling,10.0472,-65.885,0.13420000000000698
1076,tickling,2.8754,-60.5867,0.07189999999999941
1077,tickling,7.0005,29.6606,0.08140000000000214
1079,tickling,5.6919,1.7814,0.1453999999999951
1080,tickling,6.237,-67.7798,0.07669999999998822
1081,tickling,6.0177,-28.8945,0.07669999999998822
1082,tickling,4.8828,-19.1679,0.08629999999999427
1093,tickling,4.9031,46.8444,0.07980000000000587
1100,tickling,4.5438,19.2097,0.0911000000000115
1150,tickling,11.0195,-56.9723,0.06389999999998963
1152,tickling,10.6577,8.1291,0.08789999999999054
1155,tickling,8.0748,-128.8705,0.08140000000003056
1157,tickling,0.40482,-54.2194,0.05750000000000455
1159,tickling,0.3122,7.0799e-17,0.09909999999996444
1231,tickling,6.2333,-180.2837,0.027200000000007662
1233,tickling,7.2209,-117.9873,0.043099999999995475
1234,tickling,0.3122,-170.2666,0.055899999999994066
1235,tickling,4.6738,3.3558,0.0671000000000106
1236,tickling,14.6827,-4.0087,0.043100000000009686
1243,tickling,0.3122,2.3634,0.054299999999983584
1246,tickling,0.3122,2.5463e-16,0.07989999999998076
1247,tickling,7.6282,-13.1745,0.043100000000009686
1256,tickling,9.3935,35.1689,0.03350000000000364
1258,tickling,8.8614,25.6052,0.04470000000000596
1265,tickling,14.8697,120.0927,0.03999999999999204
1267,tickling,11.8339,40.509,0.06229999999999336
1268,tickling,10.64,-40.6267,0.06069999999999709
1299,tickling,14.3743,-3.1608,0.03350000000000364
1301,tickling,10.6324,-251.5016,0.03190000000000737
1312,tickling,13.9076,-465.5313,0.01120000000000232
2142,tickling,6.0397,-50.7323,0.07989999999999498
2143,tickling,5.9647,0.88462,0.06550000000000011
2144,tickling,4.2122,-67.2881,0.0911000000000115
2145,tickling,5.2318,-28.1578,0.0782999999999987
2146,tickling,4.8298,-39.7421,0.05750000000000455
2147,tickling,5.4556,-64.0004,0.03990000000000293
2148,tickling,3.1356,-18.378,0.0496000000000123
2149,tickling,4.7641,75.4616,0.04799999999998761
2150,tickling,5.1268,-86.9775,0.05270000000000152
2151,tickling,8.0231,-36.1484,0.06080000000000041
2152,tickling,4.2563,-159.3294,0.05270000000000152
2153,tickling,5.4075,34.0073,0.08150000000000546
2154,tickling,6.5022,-23.2435,0.10070000000000334
2155,tickling,6.4912,16.7949,0.07989999999999498
2156,tickling,7.016,-66.4368,0.07670000000000243
2157,tickling,4.3707,-20.0996,0.05110000000000525
2158,tickling,4.7626,73.0045,0.07189999999999941
2159,tickling,8.0721,15.3233,0.12300000000000466
2160,tickling,6.2838,-58.9623,0.05109999999999104
2161,tickling,1.7658,-34.8804,0.05750000000000455
2162,tickling,4.0442,-26.7502,0.08150000000000546
2163,tickling,6.3796,2.1679,0.08950000000000102
2164,tickling,5.8256,-7.365,0.07989999999999498
2165,tickling,5.4206,-13.8173,0.08950000000000102
2166,tickling,8.1621,-53.7742,0.07979999999999166
2167,tickling,4.7035,-124.5844,0.06230000000000757
2168,tickling,5.8538,10.8856,0.084699999999998
2169,tickling,7.1282,11.3681,0.10859999999999559
2170,tickling,5.0197,3.6382,0.08310000000000173
2171,tickling,4.3707,-44.2179,0.03520000000000323
2172,tickling,0.3122,-26.2268,0.03830000000002087
2173,tickling,7.8222,21.4659,0.06870000000000687
2174,tickling,0.93659,-112.1587,0.04630000000000223
2175,tickling,1.9658,-49.5061,0.0654999999999859
2176,tickling,4.746,-6.259,0.05910000000000082
2177,tickling,5.6638,-57.99,0.07510000000002037
2178,tickling,4.7439,-9.617,0.11180000000001655
2179,tickling,5.6157,12.0631,0.09909999999999286
2180,tickling,3.8183,-7.4143,0.055899999999979855
2181,tickling,1.947,-46.6466,0.07349999999999568
2182,tickling,1.6218,-17.1139,0.05750000000000455
2183,tickling,5.2799,-70.2932,0.08629999999999427
2184,tickling,5.9592,-88.1924,0.07030000000000314
2185,tickling,4.5562,5.201,0.12620000000001141
2186,tickling,0.401,-94.5106,0.06390000000001805
2187,tickling,4.8013,2.8932,0.11979999999999791
2188,tickling,5.6417,13.3061,0.11660000000000537
2189,tickling,5.8544,-31.1461,0.05750000000000455
2190,tickling,5.6195,-120.7283,0.03669999999999618
2191,tickling,4.7634,-76.5153,0.06550000000001432
2192,tickling,3.7538,-25.3037,0.06069999999999709
2193,tickling,5.2826,-12.0689,0.09420000000000073
2194,tickling,4.5866,-4.7243,0.126199999999983
2195,tickling,4.6185,10.5277,0.09260000000000446
2196,tickling,7.2507,4.6283,0.1103000000000236
2197,tickling,4.54,-7.2459,0.07990000000000919
2198,tickling,4.6738,-41.7916,0.06389999999998963
2199,tickling,5.5396,-4.2447,0.14209999999999923
2200,tickling,4.0585,-23.3098,0.10070000000001755
2201,tickling,4.7111,-0.16013,0.10389999999998167
2202,tickling,5.9592,-76.0055,0.08949999999998681
2203,tickling,5.9712,-15.1327,0.2044999999999959
2204,tickling,4.4251,-28.1687,0.084699999999998
2205,tickling,0.3122,-65.2554,0.041500000000013415
2206,tickling,0.33335,19.1614,0.05750000000000455
2207,tickling,4.6829,-79.2875,0.0782999999999845
2208,tickling,4.0585,-46.0608,0.09590000000000032
