cluster,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
session_n,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10
0,0,0,0,0,1,0,1,0,0,0,13,2,5,2,11,4,4,3,10,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,5,0,3,1,11,0,0,0,0,8,35,22,54,27,27,7,2,14,6,8,10,9,31,8,42,5,1,3,2,6,4,0,17,5,57,1,0,0,0,9,21,7,110,2,14,10,0,1,0
2,0,0,1,0,0,0,1,0,0,1,7,8,10,6,34,28,9,6,13,8,0,2,2,2,4,8,3,1,5,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3,0,0,1,0,0,0,0,1,0,0,5,1,1,3,4,7,5,6,0,1,1,0,2,1,2,1,3,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
4,0,0,0,0,1,1,1,0,0,0,90,86,34,16,17,51,18,20,20,10,11,22,8,3,4,5,3,3,2,2,0,0,1,0,0,1,1,1,1,0,1,2,0,0,2,3,0,0,2,1
5,0,0,0,0,0,0,1,0,0,0,81,37,43,33,7,21,8,18,4,11,15,8,8,3,1,2,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2,0
6,1,1,0,0,0,0,0,0,0,0,101,155,78,146,102,44,70,0,91,88,6,15,8,12,8,3,8,0,3,8,0,1,0,1,1,0,1,0,1,0,1,2,3,4,2,1,0,0,1,1
7,0,0,0,0,0,0,0,0,0,0,46,10,13,54,21,41,27,19,13,17,2,2,4,7,2,5,5,3,4,2,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
